爱不释手,喜爱得舍不得放手
爱莫能助,"虽然同情,但无力相助||虽然心中关切同情，却没有力量帮助"
爱民如子,爱护百姓像爱护自己的子女||旧时用以称颂帝王或官吏对老百姓仁爱||旧时称赞某些统治者爱护百姓，就象爱护自己的子女一样
悔罪自新 ,悔改罪行，重新做人||悔改罪行，重新做人
授受不亲 ,旧指男女不能互相亲手递受物品||指儒家束缚男女的礼教||旧指男女不能互相亲手递受物品||指儒家束缚男女的礼教
按兵不动,使军队暂不行动||现也比喻暂不开展工作||使军队暂不行动||现也比喻暂不开展工作
暗渡陈仓,比喻用造假象的手段来达到某种目的||也隐喻男女私通||比喻用造假象的手段来达到某种目的||也隐喻男女私通
傲慢无礼,态度傲慢，对人不讲礼节||态度傲慢，对人不讲礼节
哀鸿遍野,比喻啼饥号寒的灾民||比喻在天灾人祸中到处都是流离失所、呻吟呼号的饥民||比喻啼饥号寒的灾民||比喻在天灾人祸中到处都是流离失所、呻吟呼号的饥民
家喻户晓,家家户户都知道||形容人所共知||家家户户都知道||形容人所共知
八仙过海,后以比喻各自拿出本领或办法，互相竞赛||相传八仙过海时不用舟船，各有一套法术||民间因有“八仙过海，各显神通”的谚语||后以比喻各自拿出本领或办法，互相竞赛
百花齐放,比喻各种不同形式和风格的艺术自由发展||也形容艺术界的繁荣景象||形容百花盛开，丰富多彩||比喻各种不同形式和风格的艺术自由发展||也形容艺术界的繁荣景象
百川归海,比喻大势所趋或众望所归||也比喻许多分散的事物汇集到一个地方||许多江河流入大海||比喻大势所趋或众望所归||也比喻许多分散的事物汇集到一个地方
不耻下问,乐于向学问或地位比自己低的人学习，而不觉得不好意思||乐于向学问或地位比自己低的人学习，而不觉得不好意思
沧海一粟,大海里的一粒谷子||比喻非常渺小||大海里的一粒谷子||比喻非常渺小
错落有致,形容事物的布局虽然参差不齐，但却极有情趣，使人看了有好感||形容事物的布局虽然参差不齐，但却极有情趣，使人看了有好感
小试锋芒 ,比喻稍微显示一下本领||比喻稍微显示一下本领
打草惊蛇,原比喻惩罚了甲而使乙有所警觉||后多比喻做法不谨慎，反使对方有所戒备||打草惊了草里的蛇||原比喻惩罚了甲而使乙有所警觉||后多比喻做法不谨慎，反使对方有所戒备
答非所问,回答的不是所问的内容||回答的不是所问的内容
灯火辉煌,形容夜晚灯光明亮的繁华景象||形容夜晚灯光明亮的繁华景象
东施效颦,比喻模仿别人，不但模仿不好，反而出丑||有时也作自谦之词，表示自己根底差，学别人的长处没有学到家||比喻胡乱模仿，效果极坏
东山再起,指退隐后再度出任要职||也比喻失势后重新恢复地位||指再度出任要职||也比喻失势之后又重新得势
对牛弹琴,讥笑听话的人不懂对方说得是什么||用以讥笑说话的人不看对象||讥笑听话的人不懂对方说得是什么||用以讥笑说话的人不看对象
风流潇洒,英俊有才华，气度超脱||英俊有才华，气度超脱
