一毛不拔,zdic解释
掩耳盜鈴,偷铃铛怕别人听见而捂住自己的耳朵||比喻自己欺骗自己，明明掩盖不住的事情偏要想法子掩盖
囫圇吞棗,把枣整个咽下去，不加咀嚼，不辨滋味||比喻对事物不加分析思考
朝三暮四,原指玩弄手法欺骗人||后用来比喻常常变卦，反复无常
竭澤而漁,掏干了水塘捉鱼||比喻取之不留余地，只图眼前利益，不作长远打算||也形容反动派对人民的残酷剥削
舉一反三,比喻从一件事情类推而知道其他许多事情
青出於藍,青是从蓝草里提炼出来的，但颜色比蓝更深||比喻学生超过老师或后人胜过前人
含沙射影,传说一种叫蜮的动物，在水中含沙喷射人的影子，使人生病||比喻暗中攻击或陷害人
草木皆兵,把山上的草木都当做敌兵||形容人在惊慌时疑神疑鬼
東窗事發,比喻阴谋已败露
勢如破竹,形势就象劈竹子，头上几节破开以后，下面各节顺着刀势就分开了||比喻节节胜利，毫无阻碍
滄海桑田,大海变成桑田，桑田变成大海||比喻世事变化很大
夜郎自大,比喻人无知而又狂妄自大
信口雌黃,古人用黄纸写字，写错了，用雌黄涂抹后改写||比喻不顾事实，随口乱说
作法自斃,自己立法反而使自己受害||泛指自做自受
杞人憂天,杞国有个人怕天塌下来||比喻不必要的或缺乏根据的忧虑和担心
不學無術,原指没有学问因而没有办法||现指没有学问，没有本领
走馬看花,骑在奔跑的马上看花||原形容事情如意，心境愉快||后多指大略地观察一下
杯弓蛇影,将映在酒杯里的弓影误认为蛇||比喻因疑神疑鬼而引起恐惧
東山再起,指再度出任要职||也比喻失势之后又重新得势
樂不思蜀,很快乐，不思念蜀国||比喻在新环境中得到乐趣，不再想回到原来环境中去
濫竽充數,不会吹竽的人混在吹竽的队伍里充数||比喻无本领的冒充有本领，次货冒充好货
功虧一簣,堆九仞高的山，只缺一筐土而不能完成||比喻作事情只差最后一点没能完成
入木三分,相传王羲之在木板上写字，木工刻时，发现字迹透入木板三分深||形容书法极有笔力||现多比喻分析问题很深刻
螳臂當車,螳螂举起前肢企图阻挡车子前进||比喻做力量做不到的事情，必然失败
咄咄逼人,形容气势汹汹，盛气凌人，使人难堪||也指形势发展迅速，给人压力
出類拔萃,超出同类之上||多指人的品德才能
一竅不通,没有一窍是贯通的||比喻一点儿也不懂
吹毛求疵,吹开皮上的毛寻疤痕||比喻故意挑剔别人的缺点，寻找差错
孤注一擲,把所有的钱一次押上去，决一输赢||比喻在危急时用尽所有力量作最后一次冒险
滄海一粟,大海里的一粒谷子||比喻非常渺小
痛心疾首,形容痛恨到了极点
扶搖直上,形容上升很快||比喻仕途得意
風聲鶴唳,形容惊慌失措，或自相惊忧
老當益壯,年纪虽老而志气更旺盛，干劲更足
未雨綢繆,天还没有下雨，先把门窗绑牢||比喻事先做好准备工作
不共戴天,不愿和仇敌在一个天底下并存||形容仇恨极深
剛愎自用,十分固执自信，不考虑别人的意见
出爾反爾,原意是你怎样做，就会得到怎样的后果||现指人的言行反复无常，前后自相矛盾
目不識丁,连最普通的“丁”字也不认识||形容一个字也不认得
百折不撓,比喻意志坚强，无论受到多少次挫折，毫不动摇退缩
拾人牙慧,比喻拾取别人的一言半语当作自己的话
耳濡目染,耳朵经常听到，眼睛经常看到，不知不觉地受到影响
杯水車薪,用一杯水去救一车着了火的柴草||比喻力量太小，解决不了问题
車載斗量,用车载，用斗量||形容数量很多，不足为奇
燃眉之急,火烧眉毛那样紧急||形容事情非常急迫
言不由衷,话不是打心眼里说出来的，即说的不是真心话||指心口不一致
不倫不類,既非这一类，又非那一类，形容不成样子或没有道理
虎頭蛇尾,头大如虎，尾细如蛇||比喻开始时声势很大，到后来劲头很小，有始无终
空中樓閣,悬在半空中的阁楼||比喻虚幻的事物或脱离实际的空想
天經地義,天地间历久不变的常道||指绝对正确，不能改变的道理||也指理所当然的事
心猿意馬,心意好像猴子跳、马奔跑一样控制不住||形容心里东想西想，安静不下来
群策群力,指发挥集体的作用，大家一起来想办法，贡献力量
有備無患,事先有准备，就可以避免祸患
裹足不前,停步不前，好像脚被缠住了一样
戰戰兢兢,形容非常害怕而微微发抖的样子||也形容小心谨慎的样子
借花獻佛,比喻用别人的东西做人情
故步自封,比喻守着老一套，不求进步
笑裡藏刀,形容对人外表和气，却阴险毒辣
水到渠成,水流到的地方自然形成一条水道||比喻条件成熟，事情自然会成功
芒刺在背,象有芒和刺扎在背上一样||形容内心惶恐，坐立不安
開門見山,打开门就能看见山||比喻说话或写文章直截了当谈本题，不拐弯抹角
土崩瓦解,象土崩塌，瓦破碎一样，不可收拾||比喻彻底垮台
東施效顰,比喻胡乱模仿，效果极坏
從善如流,形容能迅速地接受别人的好意见
袖手旁觀,把手笼在袖子里，在一旁观看||比喻置身事外，既不过问，也不协助别人
因勢利導,顺着事情发展的趋势，加以引导
畏首畏尾,前也怕，后也怕||比喻做事胆子小，顾虑多
名不虛傳,传出的名声不是虚假的||指实在很好，不是空有虚名
喪心病狂,丧失理智，象发了疯一样||形容言行昏乱而荒谬，或残忍可恶到了极点
見異思遷,看见另一个事物就想改变原来的主意||指意志不坚定，喜爱不专一
明察秋毫,原形容人目光敏锐，任何细小的事物都能看得很清楚||后多形容人能洞察事理
作威作福,原意是只有君王才能独揽权威，行赏行罚||后泛指凭借职位，滥用权力
兩袖清風,衣袖中除清风外，别无所有||比喻做官廉洁||也比喻穷得一无所有
明目張膽,原指有胆识，敢做敢为||后形容公开放肆地干坏事
肝膽相照,比喻以真心相见
民不聊生,指老百姓无以为生，活不下去
明哲保身,明智的人善于保全自己||现指因怕连累自己而回避原则斗争的处世态度
妄自菲薄,过分看轻自己||形容自卑
泥牛入海,泥塑的牛掉到海里||比喻一去不再回来
休戚相關,忧喜、福祸彼此相关联||形容关系密切，利害相关
重整旗鼓,比喻失败之后，整顿力量，准备再干
脣亡齒寒,嘴唇没有了，牙齿就会感到寒冷||比喻利害密要相关
文過飾非,用漂亮的言词掩饰自己的过失和错误
別出心裁,另有一种构思或设计||指想出的办法与众不同
大公無私,指办事公正，没有私心||现多指从集体利益出发，毫无个人打算
落井下石,看见人要掉进陷井里，不伸手救他，反而推他下去，又扔下石头||比喻乘人有危难时加以陷害
臨渴掘井,到口渴才掘井||比喻事先没有准备，临时才想办法
八面玲瓏,本指窗户明亮轩敞||后用来形容人处世圆滑，待人接物面面俱到
一揮而就,一动笔就写成了||形容写字、写文章、画画快
一意孤行,指不接受别人的劝告，顽固地按照自己的主观想法去做
汗牛充棟,书运输时牛累得出汗，存放时可堆至屋顶||形容藏书非常多
仰人鼻息,依赖别人的呼吸来生活||比喻依赖别人，不能自主
乳臭未乾,身上的奶腥气还没有退尽||对年轻人表示轻蔑的说法
開門揖盜,开门请强盗进来||比喻引进坏人，招来祸患
危如累卵,比喻形势非常危险，如同堆起来的蛋，随时都有塌下打碎的可能
得意忘形,形容高兴得失去了常态
三令五申,多次命令和告诫
短兵相接,指近距离搏斗||比喻面对面地进行激烈的斗争
按部就班,按照一定的步骤、顺序进行||也指按老规矩办事，缺乏创新精神
錦上添花,在锦上再绣花||比喻好上加好，美上添美
得隴望蜀,已经取得陇右，还想攻取西蜀||比喻贪得无厌
沾沾自喜,形容自以为不错而得意的样子
毛遂自薦,毛遂自我推荐||比喻自告奋勇，自己推荐自己担任某项工作
外強中乾,形容外表强壮，内里空虚
井井有條,形容说话办事有条有理
六神無主,形容惊慌着急，没了主意，不知如何才好
本末倒置,比喻把主次、轻重的位置弄颠倒了
良莠不齊,好人坏人都有，混杂在一起
水乳交融,象水和乳汁融合在一起||比喻感情很融洽或结合十分紧密
夜以繼日,晚上连着白天||形容加紧工作或学习
防微杜漸,比喻在坏事情坏思想萌芽的时候就加以制止，不让它发展
岌岌可危,形容非常危险，快要倾覆或灭亡
沽名釣譽,用某种不正当的手段捞取名誉
以訛傳訛,指把本来就不正确的话又错误地传出去，越传越错
一落千丈,原指琴声陡然降落||后用来形容声誉、地位或经济状况急剧下降
一針見血,比喻说话直截了当，切中要害
萬籟俱寂,形容周围环境非常安静，一点儿声响都没有
笑容可掬,形容笑容满面
揮金如土,把钱财当成泥土一样挥霍||形容极端挥霍浪费
嗤之以鼻,用鼻子吭声冷笑||表示轻蔑
急流勇退,在急流中勇敢地立即退却||比喻做官的人在得意时为了避祸而及时引退
赴湯蹈火,沸水敢蹚，烈火敢踏||比喻不避艰险，奋勇向前
包藏禍心,心里怀着害人的恶意
旗鼓相當,比喻双方力量不相上下
樂不可支,快乐到不能撑持的地步||形容欣喜到极点
分道揚鑣,分路而行||比喻目标不同，各走各的路或各干各的事
曇花一現,比喻美好的事物或景象出现了一下，很快就消失
目中無人,眼里没有别人||形容骄傲自大，看不起人
春風得意,旧时形容考中进士后的兴奋心情||后形容职位升迁顺利
難兄難弟,指共过患难的人或彼此处于同样困境的人
海闊天空,象大海一样辽阔，象天空一样无边无际||形容大自然的广阔||比喻言谈议论等漫无边际，没有中心
偷天換日,比喻暗中改变事物的真相，以达到蒙混欺骗的目的
孤芳自賞,把自己比做仅有的香花而自我欣赏||比喻自命清高
坐以待斃,坐着等死||形容在极端困难中，不积极想办法找出路
一舉兩得,做一件事得到两方面的好处
守口如瓶,闭口不谈，象瓶口塞紧了一般||形容说话谨慎，严守秘密
自投羅網,自己投到罗网里去||比喻自己送死
人面獸心,面貌虽然是人，但心肠象野兽一样凶狠||形容为人凶残卑鄙
忘恩負義,忘记别人对自己的好处，反而做出对不起别人的事
川流不息,形容行人、车马等象水流一样连续不断
天涯海角,形容极远的地方，或相隔极远
九死一生,形容经历很大危险而幸存||也形容处在生死关头，情况十分危急
如數家珍,好像数自己家藏的珍宝那样清楚||比喻对所讲的事情十分熟悉
情不自禁,感情激动得不能控制||强调完全被某种感情所支配
想入非非,想到非常玄妙虚幻的地方去了||形容完全脱离现实地胡思乱想
鬼鬼祟祟,指行动偷偷摸摸，不光明正大
置若罔聞,放在一边，好像没有听见似的||指不予理睬
捕風捉影,风和影子都是抓不着的||比喻说话做事丝毫没有事实根据
義不容辭,道义上不允许推辞
異想天開,指想法很不切实际，非常奇怪
當仁不讓,原指以仁为任，无所谦让||后指遇到应该做的事就积极主动去做，不推让
恍然大悟,形容一下子明白过来
穿鑿附會,把讲不通的或不相干的道理、事情硬扯在一起进行解释
敷衍塞責,指工作不认真负责，表面应付了事
暗箭傷人,放冷箭伤害人||比喻暗地里用某种手段伤害人
隨波逐流,随着波浪起伏，跟着流水漂荡||比喻没有坚定的立场，缺乏判断是非的能力，只能随着别人走
暴跳如雷,急怒叫跳，象打雷一样猛烈||形容又急又怒，大发脾气的样子
優柔寡斷,指做事犹豫，缺乏决断
聲色俱厲,说话时声音和脸色都很严厉
華而不實,花开得好看，但不结果实||比喻外表好看，内容空虚
利令智昏,因贪图私利而失去理智，把什么都忘了
置之度外,放在考虑之外||指不把个人的生死利害等放在心上
不修邊幅,形容不讲究衣饰仪容或不拘形式小节
手無寸鐵,手里没有任何武器
玉石俱焚,美玉和石头一样烧坏||比喻好坏不分，同归于尽
一手遮天,一只手把天遮住||形容依仗权势，玩弄手段，蒙蔽群众
七手八腳,形容人多手杂，动作纷乱
一觸即發,原指把箭扣在弦上，拉开弓等着射出去||比喻事态发展到了十分紧张的阶段，稍一触动就立即会爆发
心悅誠服,由衷地高兴，真心地服气||指真心地服气或服从
改弦易轍,琴换弦，车改道||比喻改变原来的方向、计划、办法等
兵連禍結,战争接连不断，带来了无穷的灾祸
出神入化,极其高超的境界||形容文学艺术达到极高的成就
居心叵測,指存心险恶，不可推测
千方百計,想尽或用尽一切办法
一帆風順,船挂着满帆顺风行驶||比喻非常顺利，没有任何阻碍
大惑不解,感到非常迷惑，不能理解
