以攻为守 ,Parallel (Coordinate)
除旧布新 ,Parallel (Coordinate)
富贵吉祥 ,Parallel (Coordinate)
福禄寿喜 ,Parallel (Coordinate)
言为心声 ,Parallel (Coordinate)
四面八方  ,Parallel (Coordinate)
喜不自胜 ,Parallel (Coordinate)
奋发有为  ,Parallel (Coordinate)
上下同欲 ,Parallel (Coordinate)
迎来送往 ,Parallel (Coordinate)
头痛脑热 ,Parallel (Coordinate)
不可企及 ,Parallel (Coordinate)
无可非议 ,Parallel (Coordinate)
劳师动众 ,Parallel (Coordinate)
断章取义 ,Parallel (Coordinate)
情意绵绵 ,Parallel (Coordinate)
屡教不改 ,Parallel (Coordinate)
特立独行 ,Parallel (Coordinate)
妙笔生花 ,Parallel (Coordinate)
家喻户晓,Parallel (Coordinate)
不一而足 ,Parallel (Coordinate)
高屋建瓴 ,Parallel (Coordinate)
轻装上阵 ,Parallel (Coordinate)
时不再来 ,Parallel (Coordinate)
高风亮节,Parallel (Coordinate)
光明正大 ,Parallel (Coordinate)
三省吾身 ,Parallel (Coordinate)
冤家路窄 ,Parallel (Coordinate)
恩重如山 ,Parallel (Coordinate)
言之成理 ,Parallel (Coordinate)
见贤思齐 ,Parallel (Coordinate)
自圆其说 ,Parallel (Coordinate)
惜墨如金 ,Parallel (Coordinate)
将功补过 ,Parallel (Coordinate)
好为人师 ,Parallel (Coordinate)
人言可畏 ,Parallel (Coordinate)
外柔内刚 ,Parallel (Coordinate)
变幻无常 ,Parallel (Coordinate)
人迹罕至 ,Parallel (Coordinate)
不进则退 ,Parallel (Coordinate)
爱惜羽毛 ,Parallel (Coordinate)
平铺直叙 ,Parallel (Coordinate)
少不更事 ,Parallel (Coordinate)
摇头摆尾 ,Parallel (Coordinate)
人微言轻 ,Parallel (Coordinate)
沃野千里 ,Parallel (Coordinate)
正本清源 ,Parallel (Coordinate)
耳听八方 ,Parallel (Coordinate)
同声同气 ,Parallel (Coordinate)
不假思索 ,Parallel (Coordinate)
游手好闲 ,Parallel (Coordinate)
雷打不动 ,Parallel (Coordinate)
风风火火 ,Parallel (Coordinate)
听之任之 ,Parallel (Coordinate)
饶有兴趣 ,Parallel (Coordinate)
理所当然  ,Parallel (Coordinate)
饮食起居 ,Parallel (Coordinate)
拼死拼活 ,Parallel (Coordinate)
指手画脚 ,Parallel (Coordinate)
似曾相识 ,Parallel (Coordinate)
承先启后 ,Parallel (Coordinate)
举世瞩目  ,Parallel (Coordinate)
供过于求 ,Parallel (Coordinate)
循规蹈矩 ,Parallel (Coordinate)
大呼小叫 ,Parallel (Coordinate)
孤军深入 ,Parallel (Coordinate)
坚持不懈  ,Parallel (Coordinate)
语焉不详 ,Parallel (Coordinate)
暧昧不明 ,Parallel (Coordinate)
豁然开朗 ,Parallel (Coordinate)
插翅难逃 ,Parallel (Coordinate)
活蹦乱跳 ,Parallel (Coordinate)
席地而坐 ,Parallel (Coordinate)
赞叹不已 ,Parallel (Coordinate)
平心静气,Parallel (Coordinate)
五花大绑 ,Parallel (Coordinate)
兵强马壮 ,Parallel (Coordinate)
你追我赶 ,Parallel (Coordinate)
遇水架桥 ,Parallel (Coordinate)
兴旺发达 ,Parallel (Coordinate)
赌咒发誓 ,Parallel (Coordinate)
身先士卒 ,Parallel (Coordinate)
寝食不安 ,Parallel (Coordinate)
有机可乘 ,Parallel (Coordinate)
白日做梦 ,Parallel (Coordinate)
铤而走险  ,Parallel (Coordinate)
而立之年 ,Parallel (Coordinate)
雄心壮志 ,Parallel (Coordinate)
满面红光 ,Parallel (Coordinate)
一家老小 ,Parallel (Coordinate)
通力合作 ,Parallel (Coordinate)
寥若晨星 ,Parallel (Coordinate)
三阳开泰 ,Parallel (Coordinate)
怜香惜玉 ,Parallel (Coordinate)
泛滥成灾 ,Parallel (Coordinate)
心怀叵测 ,Parallel (Coordinate)
悲喜交集 ,Parallel (Coordinate)
蒙在鼓里 ,Parallel (Coordinate)
扬长避短 ,Parallel (Coordinate)
火光冲天 ,Parallel (Coordinate)
疲惫不堪 ,Parallel (Coordinate)
电闪雷鸣 ,Parallel (Coordinate)
一介书生 ,Parallel (Coordinate)
俗不可耐 ,Parallel (Coordinate)
天外有天 ,Parallel (Coordinate)
风急浪高 ,Parallel (Coordinate)
一面之交 ,Parallel (Coordinate)
坚韧不拔 ,Parallel (Coordinate)
一如既往  ,Parallel (Coordinate)
名列前茅  ,Parallel (Coordinate)
举世闻名 ,Parallel (Coordinate)
鸣冤叫屈 ,Parallel (Coordinate)
担惊受怕 ,Parallel (Coordinate)
模棱两可 ,Parallel (Coordinate)
味同嚼蜡 ,Parallel (Coordinate)
黄雀在后 ,Parallel (Coordinate)
飞龙在天 ,Parallel (Coordinate)
自告奋勇 ,Parallel (Coordinate)
大彻大悟 ,Parallel (Coordinate)
青史留名 ,Parallel (Coordinate)
煞费苦心 ,Parallel (Coordinate)
瓮中之鳖 ,Parallel (Coordinate)
事无巨细 ,Parallel (Coordinate)
荷枪实弹 ,Parallel (Coordinate)
招摇过市 ,Parallel (Coordinate)
博古通今 ,Parallel (Coordinate)
比上不足 ,Parallel (Coordinate)
戒急用忍 ,Parallel (Coordinate)
鳞次栉比 ,Parallel (Coordinate)
不绝如缕 ,Parallel (Coordinate)
左邻右里 ,Parallel (Coordinate)
方寸之地 ,Parallel (Coordinate)
千方百计  ,Parallel (Coordinate)
借题发挥 ,Parallel (Coordinate)
火上浇油 ,Parallel (Coordinate)
明辨是非 ,Parallel (Coordinate)
小题大做 ,Parallel (Coordinate)
怡然自乐 ,Parallel (Coordinate)
爱不释手,Complementary
取信于民,Complementary
络绎不绝,Complementary
噤若寒蝉,Complementary
错落有致,Complementary
欢聚一堂,Complementary
层出不穷,Complementary
约定俗成 ,Complementary
壁立千仞 ,Complementary
千呼万唤 ,Complementary
久病成医 ,Complementary
党同伐异 ,Complementary
宝刀未老 ,Complementary
回眸一笑 ,Complementary
暗渡陈仓,Verb-Object
化险为夷,Verb-Object
引人注目,Verb-Object
滥用职权,Verb-Object
赫赫有名 ,Verb-Object
可歌可泣 ,Verb-Object
无所不能 ,Verb-Object
能工巧匠 ,Verb-Object
当局者迷 ,Verb-Object
东挪西凑 ,Verb-Object
居功自傲 ,Verb-Object
男欢女爱 ,Verb-Object
望文生义 ,Verb-Object
排斥异己 ,Verb-Object
感慨万端 ,Verb-Object
目中无人,Verb-Object
一口咬定 ,Verb-Object
翻山越岭 ,Verb-Object
大摇大摆 ,Verb-Object
浑水摸鱼 ,Verb-Object
大兴土木 ,Verb-Object
鸡毛蒜皮 ,Verb-Object
踌躇不前 ,Verb-Object
山重水复 ,Verb-Object
面面俱到 ,Verb-Object
破铜烂铁 ,Verb-Object
鞠躬尽瘁 ,Verb-Object
手不释卷 ,Verb-Object
与日俱增  ,Verb-Object
勤勤恳恳 ,Verb-Object
接风洗尘 ,Verb-Object
南辕北辙 ,Verb-Object
内查外调 ,Verb-Object
无牵无挂 ,Verb-Object
女大当嫁 ,Verb-Object
思绪万千 ,Verb-Object
苛捐杂税 ,Verb-Object
遇人不淑 ,Verb-Object
原原本本 ,Verb-Object
百步穿杨 ,Verb-Object
苦乐不均 ,Verb-Object
冷嘲热讽 ,Verb-Object
有色眼镜 ,Verb-Object
将信将疑 ,Verb-Object
国破家亡 ,Verb-Object
残羹剩饭 ,Verb-Object
无往不利 ,Verb-Object
无可估量 ,Verb-Object
外强中干 ,Verb-Object
有案可查 ,Verb-Object
红袖添香 ,Verb-Object
德艺双馨 ,Verb-Object
苟且偷生 ,Verb-Object
于心何忍 ,Verb-Object
话中有话 ,Verb-Object
一拥而入 ,Verb-Object
铸剑为犁 ,Verb-Object
一鼓作气 ,Verb-Object
一草一木 ,Verb-Object
乘热打铁 ,Verb-Object
丢卒保车 ,Verb-Object
能上能下 ,Verb-Object
嫁祸于人 ,Verb-Object
铜墙铁壁 ,Verb-Object
耸人听闻 ,Verb-Object
有凭有据 ,Verb-Object
柴米油盐 ,Verb-Object
授受不亲 ,Verb-Object
青黄不接 ,Verb-Object
心神不定 ,Verb-Object
甘苦与共 ,Verb-Object
千回百转 ,Verb-Object
立锥之地 ,Verb-Object
轻歌曼舞 ,Verb-Object
临危受命 ,Verb-Object
鹰击长空 ,Verb-Object
孔孟之道 ,Verb-Object
奋勇当先 ,Verb-Object
老生常谈 ,Verb-Object
风调雨顺 ,Verb-Object
别无他物 ,Verb-Object
大有所为 ,Verb-Object
兵连祸结 ,Verb-Object
养兵千日 ,Verb-Object
旧地重游 ,Verb-Object
狗血淋头 ,Verb-Object
牛鬼蛇神 ,Verb-Object
塞翁失马 ,Verb-Object
后起之秀 ,Verb-Object
大地回春 ,Verb-Object
先人后己 ,Verb-Object
耳熟能详  ,Verb-Object
谈何容易 ,Verb-Object
一门心思 ,Verb-Object
一脉相传 ,Verb-Object
男耕女织 ,Verb-Object
身首异处 ,Verb-Object
毛手毛脚 ,Verb-Object
前无古人 ,Verb-Object
益寿延年 ,Verb-Object
